datum,datum_iso,timestamp_hour,stunde,hour_label,weekday_num,weekday_name,month,month_name,is_weekend,geraet_id,standort,direction,latitude,longitude,speed_limit_kmh,kfz,pkw,lkw,lfw,krad,van_or_bigger,fahrrad,all_vehicles,v_kfz,v_pkw,v_lkw,v85,v85_minus_avg_speed,v85_above_limit,bike_share_all_pct,car_share_motorised_pct,motorbike_share_motorised_pct,van_or_bigger_share_motorised_pct
01.04.2025,2025-04-01,2025-04-01 00:00:00,0,00:00,1,Tuesday,4,April,False,DEV-1001,Tempelhofer Damm,Inbound,52.4731,13.4033,30,42,35,3,3,1,6,87,129,37.8,39.6,28.6,42.4,4.6,True,67.4,83.3,2.4,14.3
01.04.2025,2025-04-01,2025-04-01 01:00:00,1,01:00,1,Tuesday,4,April,False,DEV-1001,Tempelhofer Damm,Inbound,52.4731,13.4033,30,44,38,2,3,1,5,70,114,41.1,43.2,27.2,49.7,8.6,True,61.4,86.4,2.3,11.4
01.04.2025,2025-04-01,2025-04-01 02:00:00,2,02:00,1,Tuesday,4,April,False,DEV-1001,Tempelhofer Damm,Inbound,52.4731,13.4033,30,45,38,3,3,1,6,81,126,33.5,35.4,23.3,43.8,10.3,True,64.3,84.4,2.2,13.3
01.04.2025,2025-04-01,2025-04-01 03:00:00,3,03:00,1,Tuesday,4,April,False,DEV-1001,Tempelhofer Damm,Inbound,52.4731,13.4033,30,51,45,3,2,1,5,108,159,34.7,35.6,28.2,40.6,5.9,True,67.9,88.2,2.0,9.8
01.04.2025,2025-04-01,2025-04-01 04:00:00,4,04:00,1,Tuesday,4,April,False,DEV-1001,Tempelhofer Damm,Inbound,52.4731,13.4033,30,48,41,2,4,1,6,91,139,32.9,34.1,25.8,41.8,8.9,True,65.5,85.4,2.1,12.5
01.04.2025,2025-04-01,2025-04-01 05:00:00,5,05:00,1,Tuesday,4,April,False,DEV-1001,Tempelhofer Damm,Inbound,52.4731,13.4033,30,79,67,5,6,1,11,106,185,37.6,39.4,27.5,43.7,6.1,True,57.3,84.8,1.3,13.9
01.04.2025,2025-04-01,2025-04-01 06:00:00,6,06:00,1,Tuesday,4,April,False,DEV-1001,Tempelhofer Damm,Inbound,52.4731,13.4033,30,167,142,11,11,3,22,152,319,33.6,34.1,30.9,39.7,6.1,True,47.6,85.0,1.8,13.2
01.04.2025,2025-04-01,2025-04-01 07:00:00,7,07:00,1,Tuesday,4,April,False,DEV-1001,Tempelhofer Damm,Inbound,52.4731,13.4033,30,357,323,13,16,5,29,276,633,25.5,26.1,20.2,32.5,7.0,True,43.6,90.5,1.4,8.1
01.04.2025,2025-04-01,2025-04-01 08:00:00,8,08:00,1,Tuesday,4,April,False,DEV-1001,Tempelhofer Damm,Inbound,52.4731,13.4033,30,600,522,18,46,14,64,348,948,27.4,27.9,23.5,35.7,8.3,True,36.7,87.0,2.3,10.7
01.04.2025,2025-04-01,2025-04-01 09:00:00,9,09:00,1,Tuesday,4,April,False,DEV-1001,Tempelhofer Damm,Inbound,52.4731,13.4033,30,526,455,28,27,16,55,291,817,31.8,33.3,22.2,40.1,8.3,True,35.6,86.5,3.0,10.5
01.04.2025,2025-04-01,2025-04-01 10:00:00,10,10:00,1,Tuesday,4,April,False,DEV-1001,Tempelhofer Damm,Inbound,52.4731,13.4033,30,297,266,10,18,3,28,212,509,39.6,41.4,24.3,49.1,9.5,True,41.7,89.6,1.0,9.4
01.04.2025,2025-04-01,2025-04-01 11:00:00,11,11:00,1,Tuesday,4,April,False,DEV-1001,Tempelhofer Damm,Inbound,52.4731,13.4033,30,308,265,10,25,8,35,151,459,36.1,37.1,29.5,43.9,7.8,True,32.9,86.0,2.6,11.4
01.04.2025,2025-04-01,2025-04-01 12:00:00,12,12:00,1,Tuesday,4,April,False,DEV-1001,Tempelhofer Damm,Inbound,52.4731,13.4033,30,283,247,11,16,9,27,196,479,30.6,31.5,24.4,38.2,7.6,True,40.9,87.3,3.2,9.5
01.04.2025,2025-04-01,2025-04-01 13:00:00,13,13:00,1,Tuesday,4,April,False,DEV-1001,Tempelhofer Damm,Inbound,52.4731,13.4033,30,344,300,12,27,5,39,187,531,38.4,40.6,23.7,43.3,4.9,True,35.2,87.2,1.5,11.3
