datum,datum_iso,stunde,geraet_id,standort,latitude,longitude,kfz,pkw,lkw,lfw,krad,fahrrad,v_kfz,v_pkw,v_lkw,v85,modal_share_pkw,modal_share_fahrrad,modal_share_lkw,modal_share_krad
01.01.2023,2023-01-01,0,SEN-001,Handjerystraße,52.4752,13.3594,44,30,2,3,9,52,30.8,33.2,21.5,35.6,31.2,54.2,2.1,9.4
01.01.2023,2023-01-01,1,SEN-001,Handjerystraße,52.4752,13.3594,54,40,4,4,6,39,35.3,38.2,26.2,41.8,43.0,41.9,4.3,6.5
01.01.2023,2023-01-01,2,SEN-001,Handjerystraße,52.4752,13.3594,45,32,2,3,8,51,34.6,37.0,29.7,41.9,33.3,53.1,2.1,8.3
01.01.2023,2023-01-01,3,SEN-001,Handjerystraße,52.4752,13.3594,56,40,2,4,10,47,38.1,41.5,32.5,43.4,38.8,45.6,1.9,9.7
01.01.2023,2023-01-01,4,SEN-001,Handjerystraße,52.4752,13.3594,115,85,6,7,17,99,31.8,33.3,27.2,38.2,39.7,46.3,2.8,7.9
01.01.2023,2023-01-01,5,SEN-001,Handjerystraße,52.4752,13.3594,421,304,21,32,64,347,36.4,38.4,34.8,42.2,39.6,45.2,2.7,8.3
01.01.2023,2023-01-01,6,SEN-001,Handjerystraße,52.4752,13.3594,1055,786,66,73,130,915,33.4,34.4,32.8,39.4,39.9,46.4,3.4,6.6
01.01.2023,2023-01-01,7,SEN-001,Handjerystraße,52.4752,13.3594,2173,1616,132,167,258,1774,30.0,32.1,20.1,36.4,40.9,44.9,3.3,6.5
01.01.2023,2023-01-01,8,SEN-001,Handjerystraße,52.4752,13.3594,2613,1864,145,222,382,2238,32.7,34.9,26.3,37.5,38.4,46.1,3.0,7.9
01.01.2023,2023-01-01,9,SEN-001,Handjerystraße,52.4752,13.3594,2201,1605,116,168,312,1813,28.7,30.1,21.9,34.5,40.0,45.2,2.9,7.8
01.01.2023,2023-01-01,10,SEN-001,Handjerystraße,52.4752,13.3594,1163,823,66,98,176,932,32.5,34.0,30.0,38.8,39.3,44.5,3.2,8.4
01.01.2023,2023-01-01,11,SEN-001,Handjerystraße,52.4752,13.3594,396,261,16,31,88,385,35.5,37.1,40.6,40.3,33.4,49.3,2.0,11.3
01.01.2023,2023-01-01,12,SEN-001,Handjerystraße,52.4752,13.3594,123,89,7,10,17,100,30.9,31.9,28.6,36.9,39.9,44.8,3.1,7.6
01.01.2023,2023-01-01,13,SEN-001,Handjerystraße,52.4752,13.3594,96,71,4,7,14,86,35.8,38.2,29.8,42.6,39.0,47.3,2.2,7.7
01.01.2023,2023-01-01,14,SEN-001,Handjerystraße,52.4752,13.3594,261,192,15,19,35,212,31.9,32.9,29.9,37.9,40.6,44.8,3.2,7.4
01.01.2023,2023-01-01,15,SEN-001,Handjerystraße,52.4752,13.3594,926,682,57,81,106,745,28.7,29.6,24.9,34.3,40.8,44.6,3.4,6.3
01.01.2023,2023-01-01,16,SEN-001,Handjerystraße,52.4752,13.3594,2171,1577,148,177,269,1782,27.5,26.8,30.3,31.6,39.9,45.1,3.7,6.8
01.01.2023,2023-01-01,17,SEN-001,Handjerystraße,52.4752,13.3594,3286,2496,228,276,286,2671,31.0,31.6,29.7,35.3,41.9,44.8,3.8,4.8
01.01.2023,2023-01-01,18,SEN-001,Handjerystraße,52.4752,13.3594,3228,2441,211,346,230,2682,27.3,28.9,19.8,32.6,41.3,45.4,3.6,3.9
01.01.2023,2023-01-01,19,SEN-001,Handjerystraße,52.4752,13.3594,2072,1489,119,180,284,1763,32.0,33.8,26.6,38.9,38.8,46.0,3.1,7.4
01.01.2023,2023-01-01,20,SEN-001,Handjerystraße,52.4752,13.3594,931,644,51,81,155,734,34.0,35.8,32.1,38.7,38.7,44.1,3.1,9.3
01.01.2023,2023-01-01,21,SEN-001,Handjerystraße,52.4752,13.3594,254,196,17,22,19,248,29.9,30.5,27.7,36.0,39.0,49.4,3.4,3.8
01.01.2023,2023-01-01,22,SEN-001,Handjerystraße,52.4752,13.3594,105,79,7,8,11,74,35.9,38.6,27.2,40.9,44.1,41.3,3.9,6.1
01.01.2023,2023-01-01,23,SEN-001,Handjerystraße,52.4752,13.3594,58,39,3,3,13,46,33.9,35.5,36.2,38.7,37.5,44.2,2.9,12.5
02.01.2023,2023-01-02,0,SEN-001,Handjerystraße,52.4752,13.3594,89,69,5,5,10,52,36.5,38.8,29.2,42.7,48.9,36.9,3.5,7.1
02.01.2023,2023-01-02,1,SEN-001,Handjerystraße,52.4752,13.3594,69,51,3,5,10,75,36.1,39.4,25.4,43.1,35.4,52.1,2.1,6.9
02.01.2023,2023-01-02,2,SEN-001,Handjerystraße,52.4752,13.3594,91,71,6,5,9,91,34.8,35.4,36.9,39.4,39.0,50.0,3.3,4.9
02.01.2023,2023-01-02,3,SEN-001,Handjerystraße,52.4752,13.3594,88,61,5,6,16,89,30.8,31.4,31.4,36.0,34.5,50.3,2.8,9.0
02.01.2023,2023-01-02,4,SEN-001,Handjerystraße,52.4752,13.3594,203,154,9,18,22,176,35.3,37.7,27.8,40.1,40.6,46.4,2.4,5.8
02.01.2023,2023-01-02,5,SEN-001,Handjerystraße,52.4752,13.3594,673,493,27,62,91,551,33.7,33.8,39.2,39.7,40.3,45.0,2.2,7.4
02.01.2023,2023-01-02,6,SEN-001,Handjerystraße,52.4752,13.3594,1926,1402,103,150,271,1476,31.2,32.5,27.1,35.6,41.2,43.4,3.0,8.0
02.01.2023,2023-01-02,7,SEN-001,Handjerystraße,52.4752,13.3594,3532,2633,189,313,397,2953,32.0,34.1,24.4,38.5,40.6,45.5,2.9,6.1
02.01.2023,2023-01-02,8,SEN-001,Handjerystraße,52.4752,13.3594,4323,3084,306,381,552,3553,32.2,33.5,29.6,37.3,39.2,45.1,3.9,7.0
02.01.2023,2023-01-02,9,SEN-001,Handjerystraße,52.4752,13.3594,3585,2583,283,324,395,2795,24.9,24.3,25.3,28.9,40.5,43.8,4.4,6.2
02.01.2023,2023-01-02,10,SEN-001,Handjerystraße,52.4752,13.3594,1859,1337,94,150,278,1549,31.2,31.6,32.8,36.2,39.2,45.5,2.8,8.2
02.01.2023,2023-01-02,11,SEN-001,Handjerystraße,52.4752,13.3594,627,448,34,51,94,564,37.1,39.5,34.4,42.2,37.6,47.4,2.9,7.9
02.01.2023,2023-01-02,12,SEN-001,Handjerystraße,52.4752,13.3594,208,151,15,18,24,171,35.0,36.8,31.6,39.6,39.8,45.1,4.0,6.3
02.01.2023,2023-01-02,13,SEN-001,Handjerystraße,52.4752,13.3594,162,111,11,14,26,118,37.0,40.2,32.1,43.1,39.6,42.1,3.9,9.3
02.01.2023,2023-01-02,14,SEN-001,Handjerystraße,52.4752,13.3594,437,314,28,41,54,337,39.9,41.9,39.8,47.2,40.6,43.5,3.6,7.0
02.01.2023,2023-01-02,15,SEN-001,Handjerystraße,52.4752,13.3594,1525,1062,69,133,261,1258,32.2,34.6,24.7,37.4,38.2,45.2,2.5,9.4
02.01.2023,2023-01-02,16,SEN-001,Handjerystraße,52.4752,13.3594,3460,2589,187,245,439,2869,31.7,33.9,22.4,38.5,40.9,45.3,3.0,6.9
02.01.2023,2023-01-02,17,SEN-001,Handjerystraße,52.4752,13.3594,5419,4199,343,428,449,4309,28.7,29.5,24.8,33.6,43.2,44.3,3.5,4.6
